country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)","GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Unemployment (% of labour force),Labour force participation (female/male pop. %),Urban population (% of total population),"Fertility rate, total (live births per woman)",Average life expectancy at birth,"Population age distribution (0-14 / 60+ years, %)",Infant mortality rate (per 1000 live births,CO2 emission estimates (million tons/tons per capita)
Afghanistan,SouthernAsia,652864,35530,54.4,106.3,-2.4,623.2,23.3,23.3,53.3,8.6,19.3/83.6,26.7,5.3,62.25,43.2/4.1,68.6,63
Albania,SouthernEurope,28748,2930,106.9,101.9,2.6,3984.2,22.4,26,51.7,15.8,40.2/61.0,57.4,1.7,77.75,17.4/19.0,14.6,84
Algeria,NorthernAfrica,2381741,41318,17.3,102,3.8,4154.1,12.2,37.3,50.5,11.4,17.0/70.7,70.7,3,75.3,29.3/9.4,27.7,5900
Andorra,SouthernEurope,468,77,163.8,102.3,0.8,39896.4,0.5,10.8,88.6,-99,-99,85.1,1.2,-99,14.4/19.0,-99,1
Angola,MiddleAfrica,1246700,29784,23.9,96.2,3,4714.1,6.8,51.2,42,6.6,59.8/77.1,44.1,6,60.2,46.8/4.0,65.4,3902
Anguilla,Caribbean,91,15,165.7,97.6,2.9,21879.6,2.3,15.7,82,-99,-99,100,-99,-99,23.3/7.6,-99,0
Antigua and Barbuda,Caribbean,442,102,231.8,92.3,4.1,14764.5,1.9,18.3,79.8,-99,-99,23.8,2.1,75.75,23.9/10.9,9.1,-99
Argentina,SouthAmerica,2780400,44271,16.2,95.9,2.4,14564.5,6,27.8,66.2,6.5,48.6/74.4,91.8,2.3,76,24.9/15.4,13.7,3167
Armenia,WesternAsia,29743,2930,102.9,88.8,3,3489.1,19,28.3,52.8,16.6,55.3/74.2,62.7,1.6,73.8,20/16.9,13.2,48
Aruba,Caribbean,180,105,584.8,90.4,0.1,26005.4,0.5,15.4,84.1,-99,58.8/69.6,41.5,1.8,75.35,17.9/19.7,14.8,1
Australia,Oceania,7692060,24451,3.2,99.3,2.4,51352.2,2.5,26.5,71.1,5.5,58.4/70.7,89.4,1.9,82.3,19.0/21.0,3.9,15282
Austria,WesternEurope,83871,8736,106,96.2,1,44117.7,1.3,28.3,70.4,6.2,54.6/65.8,66,1.4,80.95,14.1/25.1,3.3,505
